BJBE,007 Everything or Nothing
A7OP,007 Nightfire
BCSP,2 in 1 V-Rally 3 + Stuntman
BAEE,Ace Combat Advance
BGCE,Advance Guardian Heroes
AWRE,Advance Wars
AWRP,Advance Wars
AW2E,Advance Wars 2 Black Hole Rising
AW2P,Advance Wars 2 Black Hole Rising
ADEJ,Adventure of Tokyo DisneySEA
AJXE,The Adventures of Jimmy Neutron Boy Genius Vs Jimmy Negatron
AAOE,Aero the Acro-Bat
AILE,Aggressive Inline
BAWE,Alex Rider Stormbreaker
AARE,Altered Beast Guardian of the Realms
ANIP,Animaniacs Lights Camera Action!
ANUE,Antz Extreme Racing
A3QE,A Sound of Thunder
BTAP,Astro Boy Omega Factor
BTAE,Astro Boy Omega Factor
AAVE,Atari Anniversary Advance
BETE,Atomic Betty
B3BE,ATV Thunder Ridge Riders
BBWE,Avatar The Last Airbender - The Burning Earth
BGDE,Baldurs Gate Dark Alliance
BGDP,Baldurs Gate Dark Alliance
AEEE,Ballistic Ecks vs Sever
BKZE,Banjo-Kazooie Gruntys Revenge
BAJE,Banjo Pilot
BAJP,Banjo Pilot
AI8E,Barbie Horse Adventures Blue Ribbon Race
BB3E,Barbie in The 12 Dancing Princesses
BBYE,Barnyard
ABPE,Baseball Advance
BBGE,Batman Begins
BATE,Batman Rise of Sin Tzu
ABTE,Batman Vengeance
BBDE,BattleBots Beyond the Battlebox
BBOE,The Berenstain Bears and the Spooky Old Tree
BEYE,Beyblade VForce Ultimate Blader Jam
BIOE,BIONICLE
BIHE,BIONICLE Heroes
A5AE,BIONICLE Matoran Adventures
BILE,BIONICLE Maze of Shadows
AQXE,Blackthorne
AQXP,Blackthorne
B6EE,Board Game Classics
U32J,Boktai 2 Solar Boy Django
U3IJ,Boktai The Sun is in Your Hand
U3IE,Boktai The Sun is in Your Hand
U3IP,Boktai The Sun is in Your Hand
BBSJ,Bōkyaku no Senritsu
FBMJ,Bomberman
FBMP,Bomberman
ABSE,Bomberman Tournament
BKWE,Bookworm Deluxe
ABDE,Boulder Dash EX
BVDJ,Boundish
ABFE,Breath of Fire
ABFP,Breath of Fire
AB2E,Breath of Fire II
ABYE,Britneys Dance Beat
ALEP,Bruce Lee Return of the Legend
A2BJ,Bubble Bobble Old & New
AONP,Bubble Bobble Old & New
AONE,Bubble Bobble Old & New
A8HE,Cabelas Big Game Hunter
BLCE,Camp Lazlo Leaky Lake Games
BC6E,Capcom Classics Mini Mix
ACBJ,Car Battler Joe
AC9E,Cartoon Network Block Party
ANRE,Cartoon Network Speedway
FADJ,Castlevania
FADE,Castlevania
A2CE,Castlevania Aria of Sorrow
A2CP,Castlevania Aria of Sorrow
AAMJ,Castlevania Circle of the Moon
AAMP,Castlevania Circle of the Moon
AAME,Castlevania Circle of the Moon
BXKE,Castlevania Double Pack
ACHJ,Castlevania Harmony of Dissonance
ACHE,Castlevania Harmony of Dissonance
ACHP,Castlevania Harmony of Dissonance
B6ZP,Centipede / Breakout / Warlords
BCJE,Charlottes Web
ACRE,ChuChu Rocket!
BCME,CIMA The Enemy
ABJE,Circle of Blood
ABJP,Circle of Blood
BVAJ,Coloris
ACZP,Comix Zone
AAWE,Contra Advance The Alien Wars EX
AC8E,Crash Bandicoot 2 N-Tranced
AC8P,Crash Bandicoot 2 N-Tranced
ACQE,Crash Bandicoot The Huge Adventure
ACQP,Crash Bandicoot The Huge Adventure
BQCE,Crash of the Titans
BC3P,CT Special Forces 3 Bioterror
A9CP,CT Special Forces Back in the Trenches
A2DJ,Darius R
ADHE,Defender of the Crown
AC5E,DemiKids Dark Version
AL4E,DemiKids Light Version
AVFJ,Densetsu no Stafi 2
B3DJ,Densetsu no Stafi 3
ADIE,Desert Strike Return to the Gulf
ADXE,Dexters Laboratory Chess Challenge
ADLE,Dexters Laboratory Deesaster Strikes!
A5BJ,Dice de Chocobo
BVHJ,Digidrive
BCAE,Disney•Pixar Cars
ATLE,Disneys Atlantis The Lost Empire
BBRE,Disneys Brother Bear
BCDE,Disneys Cinderella Magical Dreams
BESE,Disneys Extreme Skate Adventure
B8FE,Disneys Herbie Fully Loaded
BLSE,Disneys Lilo & Stitch 2 Hämsterviel Havoc
BEIE,Disneys Little Einsteins
BM3J,Disneys Magical Quest 3 starring Mickey & Donald
BMQE,Disneys Magical Quest 3 starring Mickey & Donald
BD8E,Disneys Party
AJGE,Disneys Tarzan Return to the Jungle
BBKU,DK King of Swing
BBKJ,DK King of Swing
BBKE,DK King of Swing
ADOJ,Domokun no Fushigi Terebi
FDKE,Donkey Kong
FDKJ,Donkey Kong
A5NP,Donkey Kong Country
A5NE,Donkey Kong Country
A5NJ,Donkey Kong Country
B2DP,Donkey Kong Country 2 Diddys Kong Quest
B2DJ,Donkey Kong Country 2 Diddys Kong Quest
B2DE,Donkey Kong Country 2 Diddys Kong Quest
BDQP,Donkey Kong Country 3 Dixie Kongs Double Trouble!
BDQE,Donkey Kong Country 3 Dixie Kongs Double Trouble!
BDQJ,Donkey Kong Country 3 Dixie Kongs Double Trouble!
JRA1,Donkey Kong Junior
ADME,DOOM
ADMP,DOOM
A9DE,DOOM II
A9DP,DOOM II
BVCJ,Dotstream
BDDE,Double Dragon
BDVE,Dragon Ball Advanced Adventure
BT4E,Dragon Ball GT Transformation
BG3E,Dragon Ball Z Buus Fury
AZJE,Dragon Ball Z Supersonic Warriors
ALGE,Dragon Ball Z The Legacy of Goku
ALGP,Dragon Ball Z The Legacy of Goku
ALFE,Dragon Ball Z The Legacy of Goku II
A9HJ,Dragon Quest Monsters Caravan Heart
V49J,Drill Dozer
V49E,Drill Dozer
ADUE,Driver 2 Advance
BZPE,Dr Mario & Puzzle League
AOEX,Drome Racers
BUOE,Dr Sudoku
AB9E,Dual Blades
BD6E,Duel Masters Kaijudo Showdown
AD9E,Duke Nukem Advance
AD4E,Dungeons & Dragons Eye of the Beholder
AD4P,Dungeons & Dragons Eye of the Beholder
B36E,Dynasty Warriors Advance
AEJE,Earthworm Jim
AJ4P,Earthworm Jim 2
AESE,Ecks vs Sever
AEME,Egg Mania
ANWJ,Elevator Action Old & New
BZRE,Enchanted Once Upon Andalasia
AWIE,ESPN International Winter Sports 2002
FEBP,Excitebike
AF8E,F1 2002
AATJ,Family Tennis Advance
AFJP,FIFA Soccer 2003
BZ4E,Final Fantasy II
4Z4E,Final Fantasy II
BZ4J,Final Fantasy II
BZ4P,Final Fantasy II
BZ6E,Final Fantasy III
BZ6P,Final Fantasy III
BFFJ,Final Fantasy I & II Dawn of Souls
BFFE,Final Fantasy I & II Dawn of Souls
BFFP,Final Fantasy I & II Dawn of Souls
AFXJ,Final Fantasy Tactics Advance
AFXE,Final Fantasy Tactics Advance
AFXP,Final Fantasy Tactics Advance
BZ5J,Final Fantasy V Advance
BZ5E,Final Fantasy V Advance
BZ5P,Final Fantasy V Advance
AFFE,Final Fight
AFFP,Final Fight
AE7E,Fire Emblem
AE7X,Fire Emblem
AFEJ,Fire Emblem Fūin no Tsurugi
BE8E,Fire Emblem The Sacred Stones
BE8P,Fire Emblem The Sacred Stones
AFPJ,Fire Pro Wrestling
AFPE,Fire Pro Wrestling
BFLE,Franklins Great Adventures
AFRE,Froggers Adventures Temple of the Frog
BFTJ,F-Zero Climax
BFZJ,F-Zero GP Legend
BFZE,F-Zero GP Legend
AFZJ,F-Zero Maximum Velocity
AFZE,F-Zero Maximum Velocity
AFZP,F-Zero Maximum Velocity
AQAJ,Gadget Racers
AQAE,Gadget Racers
AQ2P,Gadget Racers
AQWE,Game & Watch Gallery 4
FGGJ,Ganbare Goemon! Karakuri Dōchū
AYGE,Gauntlet Dark Legacy
AGEP,Gekido Advance Kintaros Revenge
AGEE,Gekido Advance Kintaros Revenge
AGKJ,Gensō Suikoden Card Stories
BR8E,Ghost Rider
AG4E,Godzilla Domination!
AGSE,Golden Sun
AGSD,Golden Sun
AGSP,Golden Sun
AGSS,Golden Sun
AGFE,Golden Sun The Lost Age
AGFP,Golden Sun The Lost Age
AGFS,Golden Sun The Lost Age
AGAE,Gradius Galaxies
AGAP,Gradius Galaxies
AGAJ,Gradius Galaxies
BGTP,Grand Theft Auto Advance
A29J,The Great Circus Mystery starring Mickey & Minnie
AQME,The Great Circus Mystery starring Mickey & Minnie
AGGE,Gremlins Stripe Vs Gizmo
ACAE,GT Advance Championship Racing
AGXE,Guilty Gear X
BGXJ,Gunstar Super Heroes
BHGE,Gunstar Super Heroes
BHGP,Gunstar Super Heroes
AGCJ,Guru Logi Champ
B85E,Hamtaro Ham-Ham Games
B85A,Hamtaro Ham-Ham Games
AH3E,Hamtaro Ham-Ham Heartbreak
A84P,Hamtaro Rainbow Rescue
BH8E,Harry Potter and the Goblet of Fire
BJXE,Harry Potter and the Order of the Phoenix
AHRE,Harry Potter and the Sorcerers Stone
A4ND,Harvest Moon Friends of Mineral Town
A4NP,Harvest Moon Friends of Mineral Town
AHWE,Hot Wheels Burnin Rubber
AH8E,Hot Wheels Velocity X
FICE,Ice Climber
FICP,Ice Climber
AHLE,The Incredible Hulk
BICP,The Incredibles
AIRP,Inspector Gadget Racing
AIKP,International Karate Advanced
AY2P,International Superstar Soccer Advance
AIVP,Invader
AIOE,The Invincible Iron Man
AI3E,Iridion 3D
AI2P,Iridion II
AJCE,Jackie Chan Adventures Legend of the Dark Hand
AJRE,Jet Grind Radio
AGRJ,JGTO Kounin Golf Master Japan Golf Tour Game
AJME,Jonny Moseley Mad Trix
BJKP,Juka and the Monophonic Menace
AJ3E,Jurassic Park III Park Builder
AJ3P,Jurassic Park III Park Builder
ADNE,Jurassic Park III The DNA Factor
BJHE,Justice League Heroes The Flash
AKKE,Kao the Kangaroo
AS3E,Kelly Slaters Pro Surfer
BKHE,KillSwitch
BKME,Kim Possible 2 Drakkens Demise
BQPE,Kim Possible 3 Team Possible
