WUP-JCZE,AXELAY
WUP-JCZP,Axelay
WUP-JCZJ,AXELAY(アクスレイ)
WUP-JBVP,Brawl Brothers
WUP-JBVE,Brawl Brothers
WUP-JCVE,BREATH OF FIRE
WUP-JBEP,Breath of Fire II
WUP-JBEE,Breath of Fire II
WUP-JCVP,Breath of Fire
WUP-JCDE,Castlevania Dracula X
WUP-JCDP,Castlevania Dracula X
WUP-JA5P,Contra III The Alien Wars
WUP-JA5E,Contra III The Alien Wars
WUP-JBNE,Cybernator
WUP-JBNP,Cybernator
WUP-JCWE,DEMONS CREST
WUP-JCWP,Demons Crest
WUP-JAGE,Donkey Kong Country 2 Diddys Kong Quest
WUP-JAGP,Donkey Kong Country 2 Diddys Kong Quest
WUP-JCXE,Donkey Kong Country 3 Dixie Kongs Double Trouble
WUP-JCXP,Donkey Kong Country 3 Dixie Kongs Double Trouble
WUP-JACE,Donkey Kong Country
WUP-JACP,Donkey Kong Country
WUP-JBBE,EarthBound
WUP-JBBP,EarthBound
WUP-JA8P,Final Fight
WUP-JA8E,Final Fight
WUP-JBLE,Final Fight 2
WUP-JBLP,Final Fight 2
WUP-JBUE,Final Fight 3
WUP-JBUP,Final Fight 3
WUP-JARJ,F-ZERO
WUP-JARE,F-Zero
WUP-JARP,F-ZERO
WUP-JC7E,Genghis Khan II Clan of the Grey Wolf
WUP-JBKE,Harvest Moon
WUP-JBKP,Harvest Moon
WUP-JAEE,Kirby Super Star
WUP-JAEP,Kirby Super Star
WUP-JASE,Kirbys Dream Course
WUP-JASP,Kirbys Dream Course
WUP-JANE,Kirbys Dream Land 3
WUP-JANP,Kirbys Dream Land 3
WUP-JAQP,Mario’s Super Picross
WUP-JCNE,MEGA MAN 7
WUP-JCNP,Mega Man 7
WUP-JBAE,Mega Man X
WUP-JBAP,Mega Man X
WUP-JBTE,Mega Man X2
WUP-JBTP,Mega Man X2
WUP-JCPE,Mega Man X3
WUP-JCPP,Mega Man X3
WUP-JC3E,Metal Marines
WUP-JBBJ,MOTHER2 ギーグの逆襲
WUP-JCUE,Natsume Championship Wrestling
WUP-JCUP,Natsume Championship Wrestling
WUP-JCLE,Nobunagas Ambition
WUP-JCLP,Nobunagas Ambition
WUP-JC4E,PAC-ATTACK
WUP-JC4P,Pac-Attack
WUP-JDKE,Pac-Man 2 The New Adventures
WUP-JDKP,Pac-Man 2 The New Adventures
WUP-JA7E,Pilotwings
WUP-JA7P,Pilotwings
WUP-JCBP,Popn Twinbee
WUP-JCFP,Popn TwinBee Rainbow Bell Adventures
WUP-JCBJ,Popnツインビー
WUP-JDBE,Rival Turf
WUP-JBCE,Romance of the Three Kingdoms IV Wall of Fire
WUP-JBCP,Romance of the three Kingdoms IV Wall of Fire
WUP-JBVJ,RUSHING BEAT 乱 複製都市
WUP-JAMP,Street Fighter II The World Warrior
WUP-JCGE,Street Fighter Alpha 2
WUP-JCGP,Street Fighter Alpha 2
WUP-JAYE,Street Fighter II Turbo Hyper Fighting
WUP-JAYP,Street Fighter II Turbo Hyper Fighting
WUP-JAME,Street Fighter II The World Warrior
WUP-JA9P,Super Castlevania IV
WUP-JA9E,Super Castlevania IV
WUP-JDAJ,SUPER E.D.F. EARTH DEFENSE FORCE
WUP-JDAE,SUPER E.D.F. Earth Defense Force
WUP-JATE,Super Ghoulsn Ghosts
WUP-JATP,Super Ghoulsn Ghosts
WUP-JAKE,Super Mario Kart
WUP-JAKP,Super Mario Kart
WUP-JABE,Super Mario RPG Legend of the Seven Stars
WUP-JABP,Super Mario RPG Legend of the Seven Stars
WUP-JAAE,Super Mario World
WUP-JAAP,Super Mario World
WUP-JAJP,Super Metroid
WUP-JAJE,Super Metroid
WUP-JB8E,Super Punch-Out!!
WUP-JB8P,Super Punch-Out!!
WUP-JAVE,Super Street Fighter II The New Challengers
WUP-JAVP,Super Street FighterⅡ The New Challengers
WUP-JCLJ,SUPER 信長の野望･全国版
WUP-JENE,THE IGNITION FACTOR
WUP-JALP,The Legend of The Mystical Ninja
WUP-JALE,The Legend of The Mystical Ninja
WUP-JADP,The Legend of Zelda A Link to the Past
WUP-JADE,The Legend of Zelda A Link to the Past
WUP-JBQP,Uncharted Waters New Horizons
WUP-JBQE,Uncharted Waters New Horizons
WUP-JBJE,Vegas Stakes
WUP-JBJP,Vegas Stakes
WUP-JCTE,Wild Guns
WUP-JCTP,Wild Guns
WUP-JC6J,アルバートオデッセイ
WUP-JAWJ,カービィのきらきらきっず
WUP-JASJ,カービィボウル
WUP-JAZJ,かまいたちの夜
WUP-JALJ,がんばれゴエモン ゆき姫救出絵巻
WUP-JAUJ,がんばれゴエモン2 奇天烈将軍マッギネス
WUP-JAXJ,がんばれゴエモン3 獅子重禄兵衛のからくり卍固め
WUP-JCKJ,くにおくんのドッジボールだよ全員集合!
WUP-JBWJ,クロックタワー
WUP-JC4J,コズモギャング ザ パズル
WUP-JC2J,すーぱーぐっすんおよよ
WUP-JAVJ,スーパーストリートファイターⅡ ザ ニューチャレンジャーズ
WUP-JCJJ,スーパーチャイニーズワールド
WUP-JACJ,スーパードンキーコング
WUP-JAGJ,スーパードンキーコング2 ディクシー&ディディー
WUP-JCXJ,スーパードンキーコング3 謎のクレミス島
WUP-JB8J,スーパーパンチアウト!!
WUP-JBGJ,スーパーファミコンウォーズ
WUP-JABJ,スーパーマリオRPG
WUP-JAKJ,スーパーマリオカート
WUP-JAAJ,スーパーマリオワールド
WUP-JAJJ,スーパーメトロイド
WUP-JBMJ,スーパーワギャンランド
WUP-JC7J,スーパー蒼き狼と白き牝鹿 元朝秘史
WUP-JCRJ,すってはっくん
WUP-JAMJ,ストリートファイターⅡ ザ ワールド ウォーリアー
WUP-JAYJ,ストリートファイターⅡ ターボ ハイパー ファイティング
WUP-JCGJ,ストリートファイターZERO2
WUP-JADJ,ゼルダの伝説 神々のトライフォース
WUP-JB4J,タクティクスオウガ
WUP-JCFJ,ツインビー レインボーベルアドベンチャー
WUP-JCWJ,デモンズブレイゾン 魔界村 紋章編
WUP-JA7J,パイロットウイングス
WUP-JBHJ,はじまりの森
WUP-JA3J,パネルでポン
WUP-JCAJ,バハムート ラグーン
WUP-JBFJ,ファイアーエムブレム トラキア776
WUP-JAHJ,ファイアーエムブレム 紋章の謎
WUP-JAFJ,ファイアーエムブレム 聖戦の系譜
WUP-JA8J,ファイナルファイト
WUP-JBUJ,ファイナルファイト タフ
WUP-JBLJ,ファイナルファイト2
WUP-JBZJ,ファイナルファンタジーIV
WUP-JB7J,ファイナルファンタジーUSA ミスティッククエスト
WUP-JB6J,ファイナルファンタジーV
WUP-JBYJ,ファイナルファンタジーVI
WUP-JA6J,ファミコン探偵倶楽部 PARTⅡ うしろに立つ少女(スーパーファミコン版)
WUP-JCVJ,ブレス オブ ファイア 竜の戦士
WUP-JBEJ,ブレス オブ ファイアⅡ 使命の子
WUP-JA2J,ヘラクレスの栄光Ⅲ 神々の沈黙
WUP-JCYJ,ヘラクレスの栄光Ⅳ 神々からの贈り物
WUP-JCCJ,マーヴェラス ～もうひとつの宝島～
WUP-JAQJ,マリオのスーパーピクロス
WUP-JC3J,ミリティア
WUP-JDLJ,メタルスレイダーグローリー ディレクターズカット
WUP-JC5J,ライブ･ア･ライブ
WUP-JCHJ,ラストバイブルⅢ
WUP-JDBJ,ラッシング･ビート
WUP-JDGJ,ルドラの秘宝
WUP-JCNJ,ロックマン7 宿命の対決!
WUP-JBAJ,ロックマンX
WUP-JBTJ,ロックマンX2
WUP-JCPJ,ロックマンX3
WUP-JB3J,ロマンシング サ･ガ
WUP-JB5J,ロマンシング サ･ガ2
WUP-JB9J,ロマンシング サ･ガ3
WUP-JBCJ,三國志Ⅳ
WUP-JB2J,伝説のオウガバトル
WUP-JBQJ,大航海時代Ⅱ
WUP-JC8J,太閤立志伝
WUP-JCSJ,学校であった怖い話
WUP-JCMJ,平成 新･鬼ヶ島 前編
WUP-JCQJ,平成 新･鬼ヶ島 後編
WUP-JCEJ,弟切草
WUP-JA9J,悪魔城ドラキュラ
WUP-JCDJ,悪魔城ドラキュラXX
WUP-JAEJ,星のカービィ スーパーデラックス
WUP-JANJ,星のカービィ3
WUP-JA4J,真･女神転生
WUP-JBRJ,真･女神転生Ⅱ
WUP-JBSJ,真･女神転生if...
WUP-JBXJ,聖剣伝説2
WUP-JEPJ,豪血寺一族
WUP-JATJ,超魔界村
WUP-JBNJ,重装機兵ヴァルケン
WUP-JA5J,魂斗羅スピリッツ
WUP-JC9J,魔神転生
